class,actual,stamp,w,h,cx,cy,peakR,peakTc,bcTc,fft90,opTc,bcPeaks,tc,conf,innerSus,gearR,currentlyCorrect,lookable,magK,subRel3,subRel4,subRel5,subRel6,kSub3,kSub4,kSub5,kSub6,mode3,mode4,mode5,mode6
Mid,15,2026-04-04_09-09-24-950Z,675,900,321,383,147,15,15,15,15,14,15,1.000,false,0.2178,true,true,23109.2913,0.0844,0.0989,0.0989,0.0989,5,4,3,3,tri,tri,tri,tri
Mid,14,2026-04-04_09-09-54-631Z,675,900,338,329,111,14,14,14,14,14,14,1.000,false,0.1644,true,true,30782.9602,0.0549,0.0731,0.1150,0.1150,5,4,3,2,tri,tri,tri,single
Small,13,2026-04-04_09-10-20-407Z,675,900,335,383,183,11,13,17,17,12,13,0.000,true,0.2711,false,true,2993.2057,0.8698,1.0487,1.0487,1.0487,4,3,2,2,tri,tri,single,single
Small,11,2026-04-04_09-10-51-656Z,900,675,388,334,273,12,11,12,10,17,17,0.121,false,0.3033,false,true,2666.8612,1.4822,3.1560,3.1560,3.1560,4,3,2,2,tri,tri,single,single
Small,11,2026-04-05_08-32-48-875Z,675,900,338,384,89,11,10,17,10,12,11,0.000,true,0.1319,false,true,27027.6026,0.0750,0.1151,0.1151,0.1151,4,3,2,2,tri,tri,single,single
Small,11,2026-04-05_08-33-27-869Z,675,900,340,387,87,11,11,34,16,9,11,0.000,true,0.1289,false,true,18021.0415,0.2598,0.2598,0.2088,0.2088,4,3,2,2,tri,tri,single,single
Small,11,2026-04-05_08-34-06-051Z,675,900,333,383,196,14,11,28,11,11,11,0.000,true,0.2904,false,true,2274.7456,0.5277,0.8754,0.8754,0.7565,5,4,3,2,tri,tri,tri,single
Small,13,2026-04-05_14-39-43-491Z,675,900,342,378,218,14,13,19,13,13,13,1.000,false,0.3230,true,true,3597.9676,0.3857,0.4672,0.6725,0.6725,5,4,3,2,tri,tri,tri,single
Small,11,2026-04-05_14-40-38-072Z,675,900,334,385,297,18,11,36,12,13,11,0.000,true,0.4400,false,true,3051.3316,0.2839,0.6231,0.6231,0.8117,6,5,4,3,tri,tri,tri,tri
Small,11,2026-04-05_20-05-36-867Z,900,675,514,331,90,11,10,11,11,24,11,0.000,true,0.1000,false,true,27610.0146,0.0555,0.0459,0.0225,0.0225,4,3,2,2,tri,tri,single,single
Small,11,2026-04-06_10-01-25-781Z,900,675,515,350,186,11,11,36,22,13,11,0.000,true,0.2067,false,true,15487.7446,0.2194,0.5161,0.5161,0.5161,4,3,2,2,tri,tri,single,single
Mid,18,2026-04-08_18-28-12-142Z,675,900,342,388,162,18,18,18,18,18,18,1.000,false,0.2400,true,true,34203.7222,0.0357,0.0357,0.0300,0.0779,6,5,4,3,tri,tri,tri,tri
